i,j,k,l,value
1,1,1,1,2.2549148162082657e8
2,1,1,1,0.0
3,1,1,1,0.0
4,1,1,1,0.0
5,1,1,1,-82158.80538225357
6,1,1,1,1.0793147817487487e8
7,1,1,1,0.0
8,1,1,1,0.0
9,1,1,1,0.0
10,1,1,1,0.0
1,2,1,1,0.0
2,2,1,1,1.5418952511960438e8
3,2,1,1,0.0
4,2,1,1,0.0
5,2,1,1,0.0
6,2,1,1,0.0
7,2,1,1,113302.23782463286
8,2,1,1,0.0
9,2,1,1,9.262753146779354e7
10,2,1,1,0.0
1,3,1,1,0.0
2,3,1,1,0.0
3,3,1,1,1.541718191689741e8
4,3,1,1,0.0
5,3,1,1,0.0
6,3,1,1,0.0
7,3,1,1,0.0
8,3,1,1,-96046.79662614166
9,3,1,1,0.0
10,3,1,1,9.263003964111967e7
1,4,1,1,0.0
2,4,1,1,0.0
3,4,1,1,0.0
4,4,1,1,1.1539218730967374e8
5,4,1,1,0.0
6,4,1,1,0.0
7,4,1,1,0.0
8,4,1,1,0.0
9,4,1,1,0.0
10,4,1,1,0.0
1,5,1,1,-82158.80538225357
2,5,1,1,0.0
3,5,1,1,0.0
4,5,1,1,0.0
5,5,1,1,1.1545461802614853e8
6,5,1,1,-56148.30570335972
7,5,1,1,0.0
8,5,1,1,0.0
9,5,1,1,0.0
10,5,1,1,0.0
1,6,1,1,1.0793147817487487e8
2,6,1,1,0.0
3,6,1,1,0.0
4,6,1,1,0.0
5,6,1,1,-56148.30570335972
6,6,1,1,1.9325420595926973e8
7,6,1,1,0.0
8,6,1,1,0.0
9,6,1,1,0.0
10,6,1,1,0.0
1,7,1,1,0.0
2,7,1,1,113302.23782463286
3,7,1,1,0.0
4,7,1,1,0.0
5,7,1,1,0.0
6,7,1,1,0.0
7,7,1,1,9.122942948592097e7
8,7,1,1,0.0
9,7,1,1,74951.42401090682
10,7,1,1,0.0
1,8,1,1,0.0
2,8,1,1,0.0
3,8,1,1,-96046.79662614166
4,8,1,1,0.0
5,8,1,1,0.0
6,8,1,1,0.0
7,8,1,1,0.0
8,8,1,1,9.1229427600235e7
9,8,1,1,0.0
10,8,1,1,-82415.8919873423
1,9,1,1,0.0
2,9,1,1,9.262753146779354e7
3,9,1,1,0.0
4,9,1,1,0.0
5,9,1,1,0.0
6,9,1,1,0.0
7,9,1,1,74951.42401090682
8,9,1,1,0.0
9,9,1,1,1.800040594988621e8
10,9,1,1,0.0
1,10,1,1,0.0
2,10,1,1,0.0
3,10,1,1,9.263003964111967e7
4,10,1,1,0.0
5,10,1,1,0.0
6,10,1,1,0.0
7,10,1,1,0.0
8,10,1,1,-82415.8919873423
9,10,1,1,0.0
10,10,1,1,1.7999070427193233e8
1,1,2,1,0.0
2,1,2,1,1.5418952511960438e8
3,1,2,1,0.0
4,1,2,1,0.0
5,1,2,1,0.0
6,1,2,1,0.0
7,1,2,1,113302.23782463197
8,1,2,1,0.0
9,1,2,1,9.262753146779351e7
10,1,2,1,0.0
1,2,2,1,1.5418952511960438e8
2,2,2,1,0.0
3,2,2,1,0.0
4,2,2,1,0.0
5,2,2,1,9.806412426759066e7
6,2,2,1,-1.9227320083007596e7
7,2,2,1,0.0
8,2,2,1,0.0
9,2,2,1,0.0
10,2,2,1,0.0
1,3,2,1,0.0
2,3,2,1,0.0
3,3,2,1,0.0
4,3,2,1,-9.807873592186116e7
5,3,2,1,0.0
6,3,2,1,0.0
7,3,2,1,0.0
8,3,2,1,0.0
9,3,2,1,0.0
10,3,2,1,0.0
1,4,2,1,0.0
2,4,2,1,0.0
3,4,2,1,-9.807873592186116e7
4,4,2,1,0.0
5,4,2,1,0.0
6,4,2,1,0.0
7,4,2,1,0.0
8,4,2,1,-8.404739643068527e7
9,4,2,1,0.0
10,4,2,1,-1.5648332987770814e7
1,5,2,1,0.0
2,5,2,1,9.806412426759066e7
3,5,2,1,0.0
4,5,2,1,0.0
5,5,2,1,0.0
6,5,2,1,0.0
7,5,2,1,8.413133436513954e7
8,5,2,1,0.0
9,5,2,1,1.539436295881279e7
10,5,2,1,0.0
1,6,2,1,0.0
2,6,2,1,-1.9227320083007596e7
3,6,2,1,0.0
4,6,2,1,0.0
5,6,2,1,0.0
6,6,2,1,0.0
7,6,2,1,202705.94295455786
8,6,2,1,0.0
9,6,2,1,9.923238345803335e7
10,6,2,1,0.0
1,7,2,1,113302.23782463197
2,7,2,1,0.0
3,7,2,1,0.0
4,7,2,1,0.0
5,7,2,1,8.413133436513954e7
6,7,2,1,202705.94295455786
7,7,2,1,0.0
8,7,2,1,0.0
9,7,2,1,0.0
10,7,2,1,0.0
1,8,2,1,0.0
2,8,2,1,0.0
3,8,2,1,0.0
4,8,2,1,-8.404739643068527e7
5,8,2,1,0.0
6,8,2,1,0.0
7,8,2,1,0.0
8,8,2,1,0.0
9,8,2,1,0.0
10,8,2,1,0.0
1,9,2,1,9.262753146779351e7
2,9,2,1,0.0
3,9,2,1,0.0
4,9,2,1,0.0
5,9,2,1,1.539436295881279e7
6,9,2,1,9.923238345803335e7
7,9,2,1,0.0
8,9,2,1,0.0
9,9,2,1,0.0
10,9,2,1,0.0
1,10,2,1,0.0
2,10,2,1,0.0
3,10,2,1,0.0
4,10,2,1,-1.5648332987770814e7
5,10,2,1,0.0
6,10,2,1,0.0
7,10,2,1,0.0
8,10,2,1,0.0
9,10,2,1,0.0
10,10,2,1,0.0
1,1,3,1,0.0
2,1,3,1,0.0
3,1,3,1,1.5417181916897413e8
4,1,3,1,0.0
5,1,3,1,0.0
6,1,3,1,0.0
7,1,3,1,0.0
8,1,3,1,-96046.79662613876
9,1,3,1,0.0
10,1,3,1,9.26300396411197e7
1,2,3,1,0.0
2,2,3,1,0.0
3,2,3,1,0.0
4,2,3,1,-9.807873592186116e7
5,2,3,1,0.0
6,2,3,1,0.0
7,2,3,1,0.0
8,2,3,1,0.0
9,2,3,1,0.0
10,2,3,1,0.0
1,3,3,1,1.5417181916897413e8
2,3,3,1,0.0
3,3,3,1,0.0
4,3,3,1,0.0
5,3,3,1,-9.805108543107472e7
6,3,3,1,-1.9387567520556543e7
7,3,3,1,0.0
8,3,3,1,0.0
9,3,3,1,0.0
10,3,3,1,0.0
1,4,3,1,0.0
2,4,3,1,-9.807873592186116e7
3,4,3,1,0.0
4,4,3,1,0.0
5,4,3,1,0.0
6,4,3,1,0.0
7,4,3,1,8.402943714551704e7
8,4,3,1,0.0
9,4,3,1,-1.564830181042006e7
10,4,3,1,0.0
1,5,3,1,0.0
2,5,3,1,0.0
3,5,3,1,-9.805108543107472e7
4,5,3,1,0.0
5,5,3,1,0.0
6,5,3,1,0.0
7,5,3,1,0.0
8,5,3,1,8.411343408698961e7
9,5,3,1,0.0
10,5,3,1,-1.556826301892957e7
1,6,3,1,0.0
2,6,3,1,0.0
3,6,3,1,-1.9387567520556543e7
4,6,3,1,0.0
5,6,3,1,0.0
6,6,3,1,0.0
7,6,3,1,0.0
8,6,3,1,-72978.28546127806
9,6,3,1,0.0
10,6,3,1,9.9187138860708e7
1,7,3,1,0.0
2,7,3,1,0.0
3,7,3,1,0.0
4,7,3,1,8.402943714551704e7
5,7,3,1,0.0
6,7,3,1,0.0
7,7,3,1,0.0
8,7,3,1,0.0
9,7,3,1,0.0
10,7,3,1,0.0
1,8,3,1,-96046.79662613876
2,8,3,1,0.0
3,8,3,1,0.0
